Date,Open,High,Low,Close,Volume,MarketValue,DividendYield,PriceToEarnings,EPS,PriceToCash,PriceToBook
05/05/2015,145.7654965,148.0377181,142.6786925,142.9359283,1111922,93557.06,1.62,19.6,8.51,21.12,3.95
05/06/2015,142.4214652,144.5650754,141.7783821,143.8362427,830548,94146.38,1.61,19.7,8.51,21.25,3.98
05/07/2015,143.3217743,145.4225228,141.6926358,144.5650787,964900,94623.38,1.6,19.8,8.51,21.36,4
05/08/2015,145.8083888,148.8094435,144.7794584,148.7236938,662614,97345.31,1.56,20.4,8.51,21.97,4.11
05/11/2015,146.9658784,147.6518361,145.379615,145.8940735,628496,95493.31,1.59,20,8.51,21.56,4.03
05/12/2015,144.9937556,144.9937556,142.2927997,144.2649231,582948,94427,1.6,19.8,8.51,21.31,3.99
13/05/2015,144.3506863,145.9369496,142.0355773,142.5500488,530918,93304.5,1.62,19.5,8.51,21.06,3.94
14/05/2015,142.035576,146.0226979,141.392493,145.8940735,513972,95493.31,1.59,20,8.51,21.56,4.03
15/05/2015,146.1942076,147.0516517,143.6647504,144.3935699,662580,94511.13,1.6,19.8,8.51,21.33,3.99
18/05/2015,144.0506074,145.5940094,142.4643306,145.5940094,519835,95296.88,1.59,20,8.51,21.51,4.03
19/05/2015,145.7654914,150.0527118,145.5940052,149.8812256,830429,98103,1.54,20.6,8.51,22.14,4.15
20/05/2015,149.195275,150.0527191,148.1663447,150.0527191,527595,98215.25,1.54,20.6,8.51,22.17,4.15
21/05/2015,149.3238817,150.0098395,148.380701,149.9669647,437881,98159.13,1.54,20.6,8.51,22.16,4.15
22/05/2015,150.0527118,150.0527118,148.7236709,149.8812256,451300,98103,1.54,20.6,8.51,22.14,4.15
25/05/2015,149.6239961,149.8812319,148.552191,149.3667603,193783,97766.31,1.55,20.5,8.51,22.07,4.13
26/05/2015,149.7954755,150.8672806,148.2092119,148.8522949,802118,97166.44,1.56,20.4,8.51,21.99,4.12
27/05/2015,149.8383533,152.6250466,148.8951596,152.3249359,689281,99433.25,1.52,20.9,8.51,22.51,4.21
28/05/2015,151.7675892,152.1105616,150.1384508,151.3388672,437271,98789.56,1.53,20.8,8.51,22.36,4.19
29/05/2015,151.5532497,151.7676107,147.2231542,147.4375153,952178,96242.88,1.57,20.2,8.51,21.78,4.08
06/01/2015,148.4235729,149.9669617,147.6518654,148.8522949,468356,97166.44,1.56,20.4,8.51,21.99,4.12
06/02/2015,150.2242107,150.2242107,145.4653931,145.4653931,759698,94955.5,1.59,19.9,8.51,21.49,4.02
06/03/2015,145.7655094,148.3807168,144.9938149,146.2371063,515293,95459.31,1.58,20.1,8.51,21.61,4.04
06/04/2015,145.1652643,147.3088741,142.5929324,145.7654724,550210,95151.44,1.59,20,8.51,21.54,4.03
06/05/2015,145.0795362,145.3796468,142.7215649,142.8930511,534080,93276.44,1.62,19.6,8.51,21.11,3.95
06/08/2015,142.8930523,143.7933713,141.9498717,142.2071075,456314,92828.63,1.63,19.5,8.51,21.01,3.93
06/09/2015,141.7355105,142.2928439,139.9777475,141.2210388,674609,92184.94,1.64,19.4,8.51,20.87,3.91
06/10/2015,141.006677,144.6079395,140.2349825,143.8791199,718122,93920.06,1.61,19.7,8.51,21.26,3.98
06/11/2015,143.3646541,146.4085833,142.721571,144.6936951,627971,94451.81,1.6,19.8,8.51,21.38,4
06/12/2015,144.4793195,144.9509163,140.8780572,142.0355988,537981,92716.69,1.63,19.5,8.51,20.99,3.93
15/06/2015,140.8780692,141.6926385,139.6347779,139.9348755,565144,91345.38,1.65,19.2,8.51,20.68,3.87
16/06/2015,139.120313,141.9927561,138.3914802,141.4354095,603665,92324.88,1.64,19.4,8.51,20.9,3.91
17/06/2015,142.164203,142.2070779,138.177081,139.2060242,576125,90869.63,1.66,19.1,8.51,20.57,3.85
18/06/2015,138.7344503,140.7065743,137.4054094,140.4064636,643990,91653.25,1.65,19.3,8.51,20.74,3.88
19/06/2015,140.7923273,141.8212577,138.2199948,138.7344666,1707362,90561.81,1.67,19,8.51,20.5,3.84
22/06/2015,141.9069953,144.6079389,141.0495512,144.2220917,965452,94143.94,1.61,19.8,8.51,21.31,3.99
23/06/2015,145.7654756,146.5371699,144.5221844,145.5082397,814896,94983.56,1.59,20,8.51,21.5,4.02
24/06/2015,145.8941214,146.0227458,143.7933857,144.9080658,603707,94591.75,1.6,19.9,8.51,21.41,4.01
25/06/2015,142.4643301,145.4653844,141.5211494,143.57901,910521,93724.19,1.61,19.7,8.51,21.21,3.97
26/06/2015,142.5929248,145.8083395,142.335689,144.6079102,623951,94395.88,1.6,19.8,8.51,21.37,4
29/06/2015,138.8630676,141.8212471,137.6626511,138.8630676,1102544,90645.75,1.67,19,8.51,20.52,3.84
30/06/2015,138.7773012,139.8919678,136.8909142,137.1910248,1101763,89554.31,1.69,18.8,8.51,20.27,3.79
07/01/2015,136.5908504,140.1063634,135.56192,137.9198914,1048642,90030.06,1.68,18.9,8.51,20.38,3.81
07/02/2015,138.0913804,139.077436,136.2907425,136.633728,566744,89190.5,1.69,18.7,8.51,20.19,3.78
07/03/2015,136.3764992,137.2339434,135.1760695,135.7762909,428076,88630.75,1.71,18.6,8.51,20.06,3.76
07/06/2015,132.9038274,135.9906312,132.4751054,133.6755219,788245,87259.5,1.73,18.3,8.51,19.75,3.7
07/07/2015,133.6755537,134.3615117,131.8749286,132.00354,776968,86168,1.75,18.1,8.51,19.5,3.65
07/08/2015,132.1750001,134.0613875,131.960639,133.4183044,737568,87091.56,1.74,18.3,8.51,19.71,3.69
07/09/2015,134.1471316,137.5340333,133.7184095,136.9766998,697232,89414.38,1.69,18.8,8.51,20.24,3.79
07/10/2015,140.4064975,141.6069143,139.4633036,141.1781921,859863,92157,1.64,19.4,8.51,20.86,3.9
13/07/2015,143.8362447,144.3078415,141.6497596,142.8501892,721586,93248.44,1.62,19.6,8.51,21.11,3.95
14/07/2015,143.1931728,144.8223114,142.8502003,144.8223114,522204,94535.75,1.6,19.9,8.51,21.4,4.01
15/07/2015,144.3078511,145.5940173,143.3646573,145.4225311,525991,94927.56,1.59,19.9,8.51,21.49,4.02
16/07/2015,145.7655135,147.7376378,145.5940273,146.6658325,691518,95739.13,1.58,20.1,8.51,21.67,4.06
17/07/2015,147.0087781,147.3946253,145.6368755,146.0655975,572513,95347.38,1.58,20,8.51,21.58,4.04
20/07/2015,146.6229349,148.8522947,146.4514487,147.8662262,484839,96522.75,1.57,20.3,8.51,21.85,4.09
21/07/2015,148.4235434,148.50928,145.6368508,145.8940735,497490,95235.44,1.59,20,8.51,21.56,4.03
22/07/2015,145.2939083,146.2371021,144.479339,144.8223114,558541,94535.75,1.6,19.9,8.51,21.4,4.01
23/07/2015,146.1513442,146.3228304,144.007734,144.9509277,381006,94619.75,1.6,19.9,8.51,21.42,4.01
24/07/2015,144.8651599,147.0516447,144.8222851,145.2510071,505017,94815.63,1.59,19.9,8.51,21.46,4.02
27/07/2015,144.6079351,145.293893,142.2499639,142.464325,555397,92996.56,1.63,19.5,8.51,21.05,3.94
28/07/2015,143.2360344,144.5650754,142.7644376,143.8362427,443415,93892.06,1.61,19.7,8.51,21.25,3.98
29/07/2015,144.1792062,146.0655936,143.2360257,145.6797333,879472,95095.5,1.59,20,8.51,21.52,4.03
30/07/2015,146.6229309,146.7515423,144.6936818,146.0655975,576781,95347.38,1.58,20,8.51,21.58,4.04
31/07/2015,144.9937925,148.2520694,144.6079322,146.0655975,856951,95347.38,1.58,20,8.51,21.58,4.04
08/03/2015,145.4225268,150.3528304,145.4225268,149.7097473,768711,97726.13,1.55,20.5,8.51,22.12,4.14
08/04/2015,149.6239836,150.5243025,148.68079,150.4385529,460573,98201.88,1.54,20.6,8.51,22.23,4.16
08/05/2015,150.9101425,152.9680029,150.4385457,152.6250305,723479,99629.19,1.52,19.8,9,22.55,4.22
08/06/2015,152.4106745,153.4396047,152.0248273,152.7536469,633211,99713.13,1.52,19.8,9,22.57,4.22
08/07/2015,152.3678145,152.4535642,151.0816484,151.7247314,395707,99041.44,1.53,19.7,9,22.42,4.2
08/10/2015,152.3249375,153.2252564,151.6818544,152.667923,360245,99657.19,1.52,19.8,9,22.56,4.22
08/11/2015,152.1963062,152.3677923,148.7665302,148.8951416,797459,97194.38,1.55,19.3,9,22,4.12
08/12/2015,146.7515638,147.3946469,140.7065929,141.1353149,1257743,92129,1.64,18.3,9,20.85,3.9
13/08/2015,142.7215677,144.8651779,142.6786929,143.964859,723518,93976.06,1.61,18.7,9,21.27,3.98
14/08/2015,144.2649366,144.7794082,141.7783545,142.5500488,440460,93052.5,1.62,18.5,9,21.06,3.94
17/08/2015,143.7933698,145.0366611,140.706579,142.8501892,501961,93248.44,1.62,18.5,9,21.11,3.95
