Feature,Skewness,Kurtosis
EMA_10,0.31585331611378137,-1.3419483807924568
ENTP_10,-0.2230790670685266,0.6667306377442359
ER_10,0.6788134837245523,-0.2527343410726175
BULLP_13,0.3687213808446374,1.8122320008192156
BEARP_13,-0.9402246752970636,2.6475698583794163
EXHC_DNa,2.0455827315336257,4.535934237677891
EXHC_UPa,1.588216539809013,1.7884658184206499
FISHERT_9_1,0.5676281245635435,0.7496716726748818
FISHERTs_9_1,0.568151185971522,0.7499286688732498
FWMA_10,0.315071439445117,-1.3362019174274726
HA_open,0.31734496070750506,-1.3344619070569832
HA_high,0.310578721512051,-1.3431728674686823
HA_low,0.3224308151129533,-1.3214040355903547
HA_close,0.31580759548846654,-1.3325471168570795
PE_to_Dividend,1.1422048020923898,0.8095919880417819
PE_to_PB,-0.13311924253468133,-1.303803439194669
PC_to_E,1.7540984718060921,3.2105290440868695
CWM,-0.34598883446930556,-1.8323279677166782
PVT,-0.5006722963161342,-1.004574356755353
recurrence_percentage,-0.3513057267784954,-1.2479527442400773
recurrence_entropy,0.017215268239177222,-1.5940946241447462
daily_return,0.20496991692886216,3.8093214361303724
y,-0.06916101132438517,-1.9968402034126136
